,DATE,HourlySkyConditions
15427,2022-03-15T18:53:00,CLR:00
11385,2021-12-02T03:12:00,CLR:00
3541,2021-04-11T04:53:00,CLR:00
618,2021-01-14T10:53:00,FEW:02 8 SCT:04 200
17763,2022-05-25T23:59:00,
23436,2022-11-14T05:55:00,CLR:00
18902,2022-07-04T00:49:00,BKN:07 24
15809,2022-03-26T03:04:00,CLR:00
10516,2021-11-12T03:53:00,VV:09 1
9262,2021-10-18T05:21:00,VV:09 1
13510,2022-01-18T01:53:00,BKN:07 3
6141,2021-07-07T09:53:00,CLR:00
9928,2021-10-30T22:22:00,SCT:04 10 BKN:07 13 OVC:08 20
4189,2021-04-30T23:59:00,
13831,2022-01-25T03:10:00,OVC:08 2
10307,2021-11-08T22:13:00,BKN:07 20 BKN:07 25 OVC:08 31
13771,2022-01-24T03:53:00,CLR:00
23360,2022-11-11T18:53:00,CLR:00
6332,2021-07-13T10:53:00,CLR:00
24202,2022-12-07T02:53:00,VV:09 1
8959,2021-10-07T03:53:00,CLR:00
22799,2022-10-31T01:07:00,VV:09 2
9529,2021-10-23T09:53:00,OVC:08 7
4355,2021-05-06T14:53:00,FEW:02 200
9633,2021-10-24T23:59:00,
7054,2021-08-06T00:53:00,CLR:00
10873,2021-11-19T16:53:00,BKN:07 23 OVC:08 34
2535,2021-03-09T11:51:00,BKN:07 24 BKN:07 35 OVC:08 55
5660,2021-06-21T19:53:00,OVC:08 12
14544,2022-02-13T20:53:00,CLR:00
4421,2021-05-09T05:53:00,CLR:00
8748,2021-09-29T15:53:00,CLR:00
12117,2021-12-18T08:51:00,VV:09 2
2606,2021-03-10T20:50:00,SCT:04 23 BKN:07 30 OVC:08 46
2219,2021-02-27T18:53:00,CLR:00
10462,2021-11-11T05:53:00,VV:09 1
10182,2021-11-05T02:14:00,CLR:00
4442,2021-05-10T01:53:00,CLR:00
12442,2021-12-24T15:46:00,FEW:02 16 SCT:04 48
8854,2021-10-03T20:53:00,CLR:00
7509,2021-08-21T08:53:00,OVC:08 16
9847,2021-10-29T07:05:00,SCT:04 100
5698,2021-06-23T00:53:00,OVC:08 17
21795,2022-10-03T03:53:00,
11309,2021-11-30T22:43:00,CLR:00
20563,2022-08-25T16:53:00,CLR:00
24707,2022-12-18T03:15:00,CLR:00
13416,2022-01-15T20:53:00,CLR:00
630,2021-01-14T22:53:00,CLR:00
4863,2021-05-24T05:01:00,BKN:07 3 BKN:07 6
17946,2022-06-01T02:53:00,CLR:00
6449,2021-07-17T07:53:00,CLR:00
5482,2021-06-15T05:53:00,CLR:00
9347,2021-10-20T02:37:00,BKN:07 7 OVC:08 12
13662,2022-01-21T00:26:00,CLR:00
6538,2021-07-20T16:53:00,CLR:00
23920,2022-12-01T01:53:00,SCT:04 5 OVC:08 13
10383,2021-11-10T01:36:00,VV:09 5
18822,2022-07-01T08:53:00,OVC:08 8
21825,2022-10-04T00:53:00,
7415,2021-08-18T10:53:00,BKN:07 50
13476,2022-01-17T06:53:00,CLR:00
12711,2021-12-31T14:53:00,FEW:02 60
1536,2021-02-07T02:53:00,CLR:00
4546,2021-05-13T05:27:00,OVC:08 4
16237,2022-04-07T05:53:00,CLR:00
24870,2022-12-22T01:53:00,OVC:08 12
23425,2022-11-14T00:53:00,CLR:00
22134,2022-10-11T22:53:00,OVC:08 3
2881,2021-03-19T10:00:00,SCT:04 12 SCT:04 24
8790,2021-10-01T06:53:00,CLR:00
14624,2022-02-16T11:53:00,CLR:00
12157,2021-12-19T02:53:00,VV:09 2
15275,2022-03-11T23:53:00,CLR:00
24665,2022-12-17T02:04:00,FEW:02 2
17884,2022-05-29T15:53:00,CLR:00
7272,2021-08-13T05:42:00,OVC:08 5
1542,2021-02-07T03:47:00,VV:09 1
21492,2022-09-24T18:53:00,CLR:00
13131,2022-01-09T06:37:00,VV:09 2
24563,2022-12-14T23:53:00,CLR:00
14776,2022-02-21T23:53:00,FEW:02 80
3429,2021-04-07T13:53:00,FEW:02 250
15414,2022-03-15T08:53:00,OVC:08 4
20414,2022-08-20T17:53:00,CLR:00
22728,2022-10-29T12:53:00,CLR:00
22408,2022-10-18T02:53:00,CLR:00
13750,2022-01-23T16:53:00,CLR:00
12281,2021-12-22T03:09:00,BKN:07 4 OVC:08 9
3344,2021-04-04T22:53:00,CLR:00
97,2021-01-02T21:09:00,OVC:08 10
11963,2021-12-15T16:53:00,BKN:07 9 OVC:08 12
6339,2021-07-13T17:53:00,CLR:00
12797,2022-01-03T06:53:00,OVC:08 23
24027,2022-12-03T09:27:00,BKN:07 4 BKN:07 12 OVC:08 19
24383,2022-12-10T06:53:00,OVC:08 9
1963,2021-02-18T13:53:00,OVC:08 70
4655,2021-05-16T18:39:00,BKN:07 11
11244,2021-11-29T14:53:00,CLR:00
10998,2021-11-22T19:53:00,CLR:00
5517,2021-06-16T15:53:00,SCT:04 250
4705,2021-05-18T08:53:00,CLR:00
20390,2022-08-19T18:53:00,CLR:00
24020,2022-12-03T05:32:00,BKN:07 26 OVC:08 33
19425,2022-07-20T23:53:00,OVC:08 2
811,2021-01-19T11:53:00,CLR:00
22898,2022-11-02T02:53:00,CLR:00
10254,2021-11-06T20:53:00,CLR:00
14893,2022-02-26T13:53:00,CLR:00
3842,2021-04-19T23:53:00,CLR:00
5780,2021-06-25T16:53:00,CLR:00
12546,2021-12-26T23:59:00,
22648,2022-10-26T09:53:00,CLR:00
21381,2022-09-20T12:53:00,FEW:02 16 BKN:07 50 BKN:07 250
24584,2022-12-15T08:25:00,VV:09 1
3430,2021-04-07T14:53:00,FEW:02 30 FEW:02 250
21945,2022-10-07T04:20:00,FEW:02 1
6916,2021-08-01T10:53:00,FEW:02 14
18665,2022-06-26T15:53:00,FEW:02 40
9535,2021-10-23T13:29:00,OVC:08 19
16127,2022-04-02T22:53:00,CLR:00
15561,2022-03-19T00:53:00,CLR:00
24150,2022-12-05T23:59:00,
17390,2022-05-11T05:57:00,CLR:00
24498,2022-12-13T00:53:00,CLR:00
19640,2022-07-26T20:53:00,FEW:02 7
21791,2022-10-03T01:53:00,
19547,2022-07-24T02:53:00,OVC:08 4
11866,2021-12-13T11:08:00,BKN:07 13 OVC:08 21
21792,2022-10-03T02:29:00,CLR:00
6416,2021-07-16T00:53:00,OVC:08 5
24048,2022-12-03T17:51:00,BKN:07 5 OVC:08 9
2106,2021-02-23T06:53:00,SCT:04 250
20600,2022-08-26T13:53:00,CLR:00
22249,2022-10-14T05:53:00,OVC:08 3
20335,2022-08-18T14:53:00,FEW:02 100
13143,2022-01-09T11:53:00,CLR:00
14091,2022-01-31T05:31:00,VV:09 2
16426,2022-04-14T00:53:00,BKN:07 7 BKN:07 11 OVC:08 80
2449,2021-03-07T16:53:00,FEW:02 55 SCT:04 250
6084,2021-07-05T16:53:00,CLR:00
190,2021-01-04T13:39:00,BKN:07 26 OVC:08 34
5834,2021-06-27T10:53:00,FEW:02 10
14254,2022-02-06T04:53:00,CLR:00
12217,2021-12-20T11:53:00,OVC:08 25
16095,2022-04-01T21:53:00,CLR:00
5216,2021-06-05T09:53:00,SCT:04 250
2810,2021-03-17T22:53:00,OVC:08 90
12066,2021-12-17T11:53:00,FEW:02 4
1203,2021-01-29T02:53:00,BKN:07 10
4198,2021-05-01T02:25:00,OVC:08 3
2614,2021-03-11T00:51:00,BKN:07 40
6828,2021-07-30T06:51:00,OVC:08 4
5230,2021-06-05T23:53:00,CLR:00
11263,2021-11-30T00:35:00,VV:09 1
22151,2022-10-12T05:51:00,VV:09 3
20154,2022-08-11T20:53:00,CLR:00
22906,2022-11-02T04:45:00,CLR:00
4104,2021-04-28T06:53:00,CLR:00
2763,2021-03-16T00:53:00,CLR:00
4769,2021-05-20T21:53:00,CLR:00
13506,2022-01-18T01:35:00,BKN:07 3
19711,2022-07-28T22:53:00,OVC:08 5
5807,2021-06-26T14:53:00,CLR:00
24144,2022-12-05T18:53:00,BKN:07 100 OVC:08 110
16336,2022-04-11T03:53:00,SCT:04 15 OVC:08 26
101,2021-01-02T23:34:00,SCT:04 11 BKN:07 120
20554,2022-08-25T09:53:00,OVC:08 7
4090,2021-04-27T17:53:00,CLR:00
21359,2022-09-19T19:53:00,FEW:02 50 SCT:04 80
6674,2021-07-25T07:53:00,OVC:08 7
11476,2021-12-04T11:53:00,OVC:08 5
15847,2022-03-26T23:59:00,
7060,2021-08-06T06:53:00,OVC:08 40
22572,2022-10-23T08:53:00,CLR:00
16297,2022-04-09T15:53:00,CLR:00
1669,2021-02-10T04:51:00,VV:09 4
22640,2022-10-26T01:53:00,CLR:00
13691,2022-01-21T07:53:00,CLR:00
1205,2021-01-29T03:22:00,BKN:07 10
23831,2022-11-27T20:53:00,CLR:00
783,2021-01-18T08:53:00,FEW:02 200
24716,2022-12-18T04:18:00,FEW:02 2
18992,2022-07-06T07:53:00,FEW:02 16 OVC:08 39
19496,2022-07-22T18:53:00,CLR:00
11227,2021-11-29T05:51:00,OVC:08 1
7927,2021-09-03T14:53:00,CLR:00
19430,2022-07-21T01:15:00,OVC:08 2
22545,2022-10-22T06:53:00,CLR:00
3601,2021-04-12T15:53:00,SCT:04 250
25200,2022-12-28T05:29:00,FEW:02 1 BKN:07 13
13748,2022-01-23T14:53:00,CLR:00
2267,2021-03-01T15:53:00,CLR:00
7312,2021-08-14T14:53:00,CLR:00
3461,2021-04-08T07:53:00,CLR:00
3651,2021-04-14T01:53:00,CLR:00
20296,2022-08-17T00:53:00,CLR:00
8352,2021-09-17T10:53:00,BKN:07 14
17320,2022-05-10T04:51:00,SCT:04 2
10511,2021-11-12T02:30:00,OVC:08 1
10749,2021-11-16T22:35:00,CLR:00
10972,2021-11-21T18:53:00,CLR:00
15041,2022-03-03T06:15:00,FEW:02 2 BKN:07 65 OVC:08 80
20547,2022-08-25T05:53:00,OVC:08 3
16817,2022-04-22T16:53:00,BKN:07 60
21653,2022-09-28T17:53:00,CLR:00
2772,2021-03-16T09:53:00,SCT:04 250
12991,2022-01-06T22:17:00,SCT:04 17 OVC:08 47
24148,2022-12-05T22:53:00,FEW:02 16 SCT:04 70 OVC:08 110
8293,2021-09-15T11:53:00,CLR:00
14179,2022-02-03T08:53:00,CLR:00
12149,2021-12-19T00:53:00,OVC:08 9
1998,2021-02-19T07:53:00,OVC:08 4
5526,2021-06-16T23:59:00,
16384,2022-04-12T18:53:00,CLR:00
19476,2022-07-22T05:32:00,VV:09 2
6345,2021-07-13T21:53:00,OVC:08 6
6022,2021-07-03T16:53:00,CLR:00
15957,2022-03-29T01:13:00,VV:09 2
16445,2022-04-14T08:53:00,FEW:02 7 BKN:07 23 OVC:08 30
24956,2022-12-23T23:21:00,CLR:00
302,2021-01-06T19:51:00,OVC:08 9
10481,2021-11-11T18:53:00,CLR:00
13261,2022-01-12T01:53:00,CLR:00
22850,2022-11-01T04:18:00,SCT:04 2 BKN:07 6 OVC:08 13
9274,2021-10-18T13:53:00,BKN:07 47
13932,2022-01-27T05:21:00,FEW:02 1
1095,2021-01-27T00:14:00,BKN:07 16 OVC:08 60
17155,2022-05-05T01:51:00,OVC:08 2
24772,2022-12-19T12:53:00,BKN:07 9 OVC:08 200
17485,2022-05-14T23:53:00,CLR:00
16067,2022-04-01T02:41:00,CLR:00
16084,2022-04-01T10:53:00,CLR:00
22878,2022-11-01T17:53:00,CLR:00
5737,2021-06-24T09:38:00,FEW:02 18
15181,2022-03-08T05:53:00,CLR:00
1592,2021-02-08T03:22:00,VV:09 1
3891,2021-04-21T16:53:00,CLR:00
18860,2022-07-02T12:53:00,SCT:04 17
12699,2021-12-31T05:17:00,FEW:02 2
19681,2022-07-28T02:24:00,OVC:08 3
2650,2021-03-12T05:53:00,CLR:00
9639,2021-10-25T02:36:00,FEW:02 13 BKN:07 44 OVC:08 60
2996,2021-03-23T10:54:00,CLR:00
23806,2022-11-27T03:53:00,CLR:00
4007,2021-04-25T06:14:00,BKN:07 13 BKN:07 19 OVC:08 49
5798,2021-06-26T06:53:00,OVC:08 9
24790,2022-12-20T02:53:00,OVC:08 120
21384,2022-09-20T15:53:00,FEW:02 15 SCT:04 50
12694,2021-12-31T04:01:00,CLR:00
1078,2021-01-26T18:53:00,BKN:07 19 OVC:08 26
12740,2022-01-01T16:53:00,CLR:00
12565,2021-12-27T07:51:00,FEW:02 5 SCT:04 40 BKN:07 50
14958,2022-03-01T02:53:00,CLR:00
3801,2021-04-18T16:53:00,CLR:00
16002,2022-03-30T02:03:00,OVC:08 5
1106,2021-01-27T04:12:00,FEW:02 12 BKN:07 35 OVC:08 50
12096,2021-12-17T23:22:00,VV:09 2
5527,2021-06-17T00:53:00,CLR:00
14831,2022-02-24T01:53:00,CLR:00
134,2021-01-03T11:51:00,SCT:04 7 OVC:08 25
12440,2021-12-24T15:03:00,SCT:04 16 SCT:04 23 OVC:08 35
24542,2022-12-14T07:28:00,SCT:04 2
5549,2021-06-17T22:53:00,CLR:00
3711,2021-04-16T00:53:00,SCT:04 7
16035,2022-03-30T21:53:00,CLR:00
3546,2021-04-11T09:53:00,SCT:04 250
16309,2022-04-10T02:53:00,CLR:00
18178,2022-06-08T16:53:00,SCT:04 250
14979,2022-03-01T22:11:00,VV:09 1
20374,2022-08-19T05:26:00,VV:09 2
22697,2022-10-28T08:53:00,CLR:00
25024,2022-12-25T03:29:00,OVC:08 6
14582,2022-02-14T19:53:00,FEW:02 37
23130,2022-11-07T11:53:00,SCT:04 16 BKN:07 48 BKN:07 60
10653,2021-11-14T23:45:00,OVC:08 2
12764,2022-01-02T08:53:00,CLR:00
18922,2022-07-04T13:53:00,FEW:02 27 BKN:07 40 BKN:07 100
20230,2022-08-14T09:53:00,CLR:00
20450,2022-08-21T21:53:00,OVC:08 6
21156,2022-09-13T07:07:00,BKN:07 4
21654,2022-09-28T18:53:00,CLR:00
8126,2021-09-09T23:59:00,
729,2021-01-17T01:22:00,FEW:02 1
9382,2021-10-20T17:53:00,OVC:08 10
722,2021-01-17T00:06:00,VV:09 1
23184,2022-11-08T14:53:00,FEW:02 32 SCT:04 47 BKN:07 65
24366,2022-12-09T19:53:00,OVC:08 100
2766,2021-03-16T03:53:00,CLR:00
39,2021-01-01T21:51:00,OVC:08 12
24658,2022-12-17T00:53:00,CLR:00
14912,2022-02-27T07:53:00,SCT:04 100
7463,2021-08-20T00:53:00,OVC:08 6
13184,2022-01-10T16:53:00,FEW:02 80
11477,2021-12-04T12:53:00,OVC:08 7
20350,2022-08-18T23:50:00,VV:09 2
4361,2021-05-06T20:53:00,CLR:00
13503,2022-01-18T01:03:00,CLR:00
8213,2021-09-12T20:53:00,CLR:00
15172,2022-03-07T21:53:00,CLR:00
23808,2022-11-27T04:30:00,VV:09 2
2083,2021-02-22T09:53:00,SCT:04 250
18802,2022-06-30T20:53:00,CLR:00
1569,2021-02-07T23:26:00,FEW:02 4
8368,2021-09-17T23:59:00,
3432,2021-04-07T16:53:00,CLR:00
20945,2022-09-05T10:53:00,CLR:00
8749,2021-09-29T16:53:00,CLR:00
5677,2021-06-22T08:53:00,OVC:08 18
5729,2021-06-24T03:53:00,OVC:08 9
13582,2022-01-19T15:53:00,CLR:00
20020,2022-08-08T02:53:00,FEW:02 2
698,2021-01-16T11:53:00,SCT:04 250
20454,2022-08-21T23:59:00,
4354,2021-05-06T13:53:00,FEW:02 250
23566,2022-11-19T10:53:00,CLR:00
10190,2021-11-05T03:26:00,FEW:02 3
23491,2022-11-16T10:53:00,CLR:00
13344,2022-01-14T02:09:00,CLR:00
23114,2022-11-07T06:25:00,VV:09 4
20879,2022-09-02T19:53:00,CLR:00
6580,2021-07-22T08:53:00,CLR:00
23749,2022-11-24T23:59:00,
11416,2021-12-02T18:53:00,CLR:00
9943,2021-10-31T01:46:00,SCT:04 5 BKN:07 28 OVC:08 35
19940,2022-08-05T09:53:00,OVC:08 22
789,2021-01-18T14:53:00,CLR:00
21339,2022-09-19T02:53:00,OVC:08 50
16651,2022-04-19T01:53:00,BKN:07 60
11118,2021-11-26T18:53:00,CLR:00
18614,2022-06-25T06:51:00,OVC:08 2
22577,2022-10-23T13:53:00,CLR:00
3395,2021-04-06T10:53:00,OVC:08 7
6610,2021-07-23T13:53:00,CLR:00
12863,2022-01-04T16:21:00,SCT:04 18 OVC:08 85
2909,2021-03-20T05:53:00,VV:09 2
13368,2022-01-14T20:53:00,CLR:00
13723,2022-01-22T14:53:00,CLR:00
3251,2021-04-02T02:53:00,CLR:00
8800,2021-10-01T16:53:00,CLR:00
16185,2022-04-05T03:53:00,CLR:00
14586,2022-02-14T23:53:00,CLR:00
11950,2021-12-15T12:14:00,FEW:02 13 BKN:07 20 OVC:08 26
16607,2022-04-18T03:45:00,CLR:00
23829,2022-11-27T18:53:00,CLR:00
3494,2021-04-09T15:53:00,CLR:00
17377,2022-05-11T03:42:00,SCT:04 1
55,2021-01-02T02:22:00,OVC:08 3
25356,2022-12-31T07:53:00,OVC:08 60
19010,2022-07-06T23:53:00,CLR:00
19157,2022-07-12T00:30:00,OVC:08 4
12063,2021-12-17T10:00:00,VV:09 1
11883,2021-12-13T16:51:00,BKN:07 24 BKN:07 44 OVC:08 110
20669,2022-08-28T03:53:00,OVC:08 6
19687,2022-07-28T03:53:00,OVC:08 3
7417,2021-08-18T12:53:00,CLR:00
12947,2022-01-06T02:13:00,SCT:04 2 OVC:08 7
15781,2022-03-25T08:51:00,OVC:08 4
9589,2021-10-24T08:30:00,OVC:08 8
2519,2021-03-09T06:12:00,BKN:07 15 BKN:07 28 OVC:08 60
17598,2022-05-19T09:53:00,CLR:00
12181,2021-12-19T13:08:00,FEW:02 22 OVC:08 28
14723,2022-02-20T04:48:00,VV:09 2
12840,2022-01-04T06:27:00,FEW:02 9 SCT:04 27
13837,2022-01-25T04:18:00,FEW:02 2
3594,2021-04-12T08:53:00,FEW:02 3 BKN:07 200
12913,2022-01-05T10:53:00,BKN:07 8 BKN:07 12 OVC:08 22
20040,2022-08-08T07:53:00,OVC:08 3
20109,2022-08-10T14:53:00,FEW:02 25
21433,2022-09-22T09:53:00,CLR:00
18402,2022-06-17T08:53:00,BKN:07 75
12075,2021-12-17T19:53:00,FEW:02 3
782,2021-01-18T07:53:00,FEW:02 200
23933,2022-12-01T04:53:00,BKN:07 7 OVC:08 12
6815,2021-07-29T22:53:00,CLR:00
8548,2021-09-23T01:51:00,VV:09 2
8577,2021-09-23T22:53:00,CLR:00
5731,2021-06-24T05:53:00,OVC:08 8
1594,2021-02-08T03:51:00,VV:09 3
13290,2022-01-12T16:53:00,BKN:07 250
13200,2022-01-11T00:53:00,CLR:00
1561,2021-02-07T15:53:00,SCT:04 250
5971,2021-07-02T01:53:00,OVC:08 4
7654,2021-08-25T23:59:00,
4679,2021-05-17T11:53:00,FEW:02 17 SCT:04 250
20037,2022-08-08T06:51:00,OVC:08 2
4142,2021-04-29T10:53:00,SCT:04 250
23045,2022-11-05T21:19:00,FEW:02 10 BKN:07 15
1682,2021-02-10T11:53:00,CLR:00
4569,2021-05-13T21:53:00,OVC:08 4
16962,2022-04-27T14:53:00,CLR:00
3874,2021-04-21T03:53:00,CLR:00
10870,2021-11-19T15:53:00,FEW:02 13 OVC:08 22
9601,2021-10-24T13:03:00,OVC:08 35
2055,2021-02-21T06:53:00,FEW:02 200
15177,2022-03-08T01:53:00,CLR:00
9606,2021-10-24T13:53:00,BKN:07 35 OVC:08 48
23445,2022-11-14T14:53:00,SCT:04 250
22268,2022-10-14T17:53:00,CLR:00
10039,2021-11-02T00:09:00,OVC:08 8
8016,2021-09-06T04:01:00,BKN:07 2
16965,2022-04-27T17:53:00,CLR:00
17299,2022-05-09T11:53:00,BKN:07 40
664,2021-01-15T15:53:00,SCT:04 200
14641,2022-02-17T03:53:00,CLR:00
10750,2021-11-16T22:49:00,CLR:00
19950,2022-08-05T17:53:00,CLR:00
17109,2022-05-03T10:53:00,CLR:00
14895,2022-02-26T15:53:00,BKN:07 250
13253,2022-01-11T22:47:00,SCT:04 2
8305,2021-09-15T22:53:00,OVC:08 6
17020,2022-04-29T22:53:00,CLR:00
12367,2021-12-23T06:53:00,BKN:07 10 OVC:08 26
11698,2021-12-09T03:08:00,CLR:00
7984,2021-09-05T03:41:00,VV:09 1
2102,2021-02-23T02:53:00,CLR:00
8090,2021-09-08T16:53:00,SCT:04 250
22245,2022-10-14T04:53:00,OVC:08 3
102,2021-01-02T23:48:00,SCT:04 120
5629,2021-06-20T19:53:00,CLR:00
11549,2021-12-05T23:53:00,VV:09 1
1444,2021-02-04T17:53:00,CLR:00
19023,2022-07-07T07:27:00,BKN:07 4 OVC:08 16
3437,2021-04-07T21:53:00,CLR:00
18848,2022-07-02T03:45:00,OVC:08 5
23293,2022-11-10T14:53:00,CLR:00
6050,2021-07-04T15:53:00,CLR:00
23646,2022-11-22T15:53:00,CLR:00
18396,2022-06-17T02:53:00,CLR:00
20241,2022-08-14T20:53:00,CLR:00
840,2021-01-20T15:53:00,CLR:00
24168,2022-12-06T17:53:00,CLR:00
11242,2021-11-29T12:53:00,CLR:00
5933,2021-06-30T23:59:00,
23323,2022-11-11T02:10:00,BKN:07 1
19919,2022-08-04T20:24:00,SCT:04 9
2812,2021-03-17T23:59:00,
3457,2021-04-08T06:33:00,VV:09 2
1613,2021-02-08T11:53:00,BKN:07 250
5034,2021-05-30T00:53:00,CLR:00
14501,2022-02-12T12:53:00,CLR:00
10127,2021-11-03T20:39:00,BKN:07 26 OVC:08 31
2516,2021-03-09T05:43:00,FEW:02 13 BKN:07 70 OVC:08 85
6980,2021-08-03T17:53:00,CLR:00
23096,2022-11-06T20:53:00,SCT:04 14 BKN:07 21 OVC:08 29
10532,2021-11-12T11:53:00,CLR:00
24426,2022-12-11T04:51:00,FEW:02 9 BKN:07 22 OVC:08 29
18232,2022-06-10T20:53:00,CLR:00
12004,2021-12-16T08:10:00,FEW:02 1
4243,2021-05-02T15:53:00,CLR:00
17574,2022-05-18T10:53:00,CLR:00
6016,2021-07-03T10:53:00,FEW:02 15
21196,2022-09-14T17:53:00,CLR:00
19692,2022-07-28T07:23:00,OVC:08 5
20698,2022-08-29T02:53:00,OVC:08 12
1271,2021-01-31T05:53:00,OVC:08 41
23078,2022-11-06T10:53:00,FEW:02 12
16157,2022-04-04T02:53:00,CLR:00
21277,2022-09-17T13:53:00,SCT:04 250
21722,2022-09-30T23:59:00,
3542,2021-04-11T05:53:00,SCT:04 200
8113,2021-09-09T14:53:00,BKN:07 150
13165,2022-01-10T04:53:00,OVC:08 100
9375,2021-10-20T15:55:00,SCT:04 6 BKN:07 10 OVC:08 15
16296,2022-04-09T14:53:00,CLR:00
23369,2022-11-12T01:53:00,OVC:08 27
22804,2022-10-31T03:53:00,VV:09 1
11681,2021-12-08T13:53:00,BKN:07 12 OVC:08 18
14638,2022-02-17T00:53:00,CLR:00
13491,2022-01-17T21:53:00,CLR:00
10408,2021-11-10T06:53:00,OVC:08 2
11946,2021-12-15T08:53:00,SCT:04 11 BKN:07 40
483,2021-01-11T03:27:00,BKN:07 9
443,2021-01-10T13:53:00,OVC:08 5
770,2021-01-17T20:53:00,CLR:00
23067,2022-11-06T06:31:00,BKN:07 3 BKN:07 21
14692,2022-02-19T04:53:00,CLR:00
5975,2021-07-02T04:53:00,OVC:08 7
13755,2022-01-23T21:53:00,CLR:00
21053,2022-09-09T18:53:00,CLR:00
25371,2022-12-31T20:53:00,CLR:00
3579,2021-04-12T05:01:00,OVC:08 9
6103,2021-07-06T05:53:00,OVC:08 3
6618,2021-07-23T21:53:00,CLR:00
2549,2021-03-09T20:53:00,SCT:04 19 OVC:08 26
1381,2021-02-03T00:53:00,CLR:00
3730,2021-04-16T15:53:00,CLR:00
6800,2021-07-29T07:53:00,SCT:04 16 SCT:04 200
25207,2022-12-28T06:53:00,VV:09 2
6523,2021-07-20T05:46:00,FEW:02 4 BKN:07 11
6943,2021-08-02T11:53:00,CLR:00
11782,2021-12-12T03:26:00,OVC:08 12
19623,2022-07-26T06:53:00,OVC:08 6
12566,2021-12-27T07:53:00,FEW:02 5 SCT:04 40 BKN:07 50
9549,2021-10-23T17:53:00,BKN:07 6 OVC:08 10
5577,2021-06-19T00:53:00,CLR:00
195,2021-01-04T17:53:00,SCT:04 39
6194,2021-07-08T23:53:00,CLR:00
21134,2022-09-12T20:53:00,CLR:00
8725,2021-09-28T17:53:00,CLR:00
1310,2021-02-01T15:53:00,OVC:08 14
24486,2022-12-12T22:43:00,CLR:00
11626,2021-12-07T15:53:00,FEW:02 50
10980,2021-11-22T01:53:00,CLR:00
15908,2022-03-28T04:05:00,FEW:02 7 BKN:07 17 OVC:08 31
6292,2021-07-12T07:12:00,OVC:08 4
8088,2021-09-08T14:53:00,CLR:00
15535,2022-03-18T05:38:00,OVC:08 6
837,2021-01-20T12:53:00,CLR:00
14551,2022-02-14T00:25:00,VV:09 1
2025,2021-02-20T01:53:00,FEW:02 21 SCT:04 26 BKN:07 44
17979,2022-06-02T09:53:00,SCT:04 250
20132,2022-08-11T03:26:00,VV:09 1
23377,2022-11-12T05:53:00,VV:09 1
9408,2021-10-21T01:51:00,OVC:08 3
3348,2021-04-05T01:53:00,CLR:00
2385,2021-03-05T19:53:00,BKN:07 11 BKN:07 24 OVC:08 60
22960,2022-11-03T14:53:00,CLR:00
4183,2021-04-30T18:53:00,FEW:02 12 BKN:07 180
15707,2022-03-24T02:00:00,VV:09 6
13086,2022-01-08T12:53:00,FEW:02 200
15261,2022-03-11T09:53:00,CLR:00
12945,2022-01-06T01:59:00,SCT:04 2 OVC:08 9
6535,2021-07-20T13:53:00,CLR:00
23111,2022-11-07T05:53:00,VV:09 5
17396,2022-05-11T09:53:00,FEW:02 30
13980,2022-01-28T19:53:00,CLR:00
17015,2022-04-29T17:53:00,CLR:00
13336,2022-01-13T23:53:00,CLR:00
2995,2021-03-23T10:53:00,
1173,2021-01-28T20:46:00,CLR:00
6115,2021-07-06T13:53:00,CLR:00
14487,2022-02-12T06:14:00,BKN:07 2
10776,2021-11-17T06:53:00,VV:09 2
12921,2022-01-05T15:53:00,BKN:07 15
5794,2021-06-26T02:53:00,OVC:08 7
21681,2022-09-29T08:53:00,CLR:00
6355,2021-07-14T04:53:00,OVC:08 5
15596,2022-03-20T08:53:00,CLR:00
24522,2022-12-13T16:53:00,SCT:04 250
3132,2021-03-28T21:53:00,CLR:00
5864,2021-06-28T11:53:00,FEW:02 10
24648,2022-12-16T16:53:00,CLR:00
4983,2021-05-28T08:53:00,FEW:02 250
11294,2021-11-30T13:53:00,SCT:04 250
12163,2021-12-19T04:24:00,VV:09 4
1946,2021-02-17T21:53:00,CLR:00
9018,2021-10-09T03:53:00,FEW:02 65 BKN:07 85
9354,2021-10-20T05:41:00,OVC:08 8
377,2021-01-08T22:53:00,CLR:00
8068,2021-09-07T19:53:00,CLR:00
22972,2022-11-04T01:53:00,CLR:00
10065,2021-11-02T09:53:00,FEW:02 3 OVC:08 18
68,2021-01-02T05:51:00,SCT:04 6 OVC:08 11
9246,2021-10-17T23:59:00,
7422,2021-08-18T17:53:00,BKN:07 46
3385,2021-04-06T02:32:00,OVC:08 9
12358,2021-12-23T03:53:00,OVC:08 41
21289,2022-09-17T23:59:00,
17801,2022-05-27T00:53:00,OVC:08 11
17739,2022-05-25T00:53:00,CLR:00
3292,2021-04-03T07:53:00,OVC:08 25
3920,2021-04-22T14:53:00,SCT:04 30
12462,2021-12-25T04:18:00,SCT:04 20 BKN:07 26 OVC:08 41
19544,2022-07-24T01:31:00,OVC:08 3
15364,2022-03-14T14:53:00,SCT:04 40 SCT:04 200
19434,2022-07-21T02:53:00,VV:09 2
15560,2022-03-19T00:19:00,CLR:00
19153,2022-07-11T22:53:00,OVC:08 4
19865,2022-08-02T23:59:00,
10273,2021-11-07T14:53:00,FEW:02 200
